S.No.,Location,Pincode,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
230,Ramakrishna Hegde Nagar,560045,12.976959149999999,77.5123160731423,0.0,Café,Mattress Store,Lighthouse,Yoga Studio,Donut Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space
231,Ramamurthy Nagar,560016,13.0120218,77.6777817,1.0,ATM,Bakery,South Indian Restaurant,Supermarket,Indian Restaurant,English Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space
233,Richmond Town,560025,12.9626925,77.6041603,1.0,Indian Restaurant,Hotel,Chinese Restaurant,Pub,Bakery,Café,Bar,Coffee Shop,Middle Eastern Restaurant,Restaurant
235,Sadashivanagar,560080,13.0077079,77.5795893,1.0,Coffee Shop,Indian Restaurant,Café,Dessert Shop,Department Store,Fast Food Restaurant,Gym,Ice Cream Shop,Flea Market,Nightclub
240,Sarjapura,562125,12.8600866,77.7861352,0.0,Fast Food Restaurant,Movie Theater,Supermarket,Department Store,Yoga Studio,Dive Bar,Field,Farmers Market,Event Space,Event Service
241,Science Institute,560012,13.022234699999998,77.56718324768107,1.0,Ice Cream Shop,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Asian Restaurant,Breakfast Spot,Burger Joint,Sandwich Place,Bar
242,Seshadripuram,560020,12.9931876,77.5753419,1.0,Indian Restaurant,Café,Clothing Store,Hotel,Ice Cream Shop,Vegetarian / Vegan Restaurant,Fast Food Restaurant,Karnataka Restaurant,Electronics Store,Art Gallery
244,Shanthinagar,560027,12.9791198,77.5912997,1.0,Indian Restaurant,Hotel,Lounge,Italian Restaurant,Coffee Shop,Café,Mexican Restaurant,Intersection,Park,Metro Station
246,Singanayakanahalli,560064,13.1478621,77.5693207,1.0,Café,Hotel,Indian Restaurant,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
249,Sri Jayachamarajendra Road,560002,12.97795955,77.58627810771424,1.0,Indian Restaurant,Hotel,Park,Hotel Bar,Capitol Building,Metro Station,Bookstore,Flea Market,Restaurant,Racetrack
255,Subramanyapura,560061,12.8850574,77.5415617,1.0,Indian Restaurant,Café,South Indian Restaurant,Theater,Pool,Garden,Event Space,Event Service,Farmers Market,English Restaurant
259,Taverekere,560029,12.9328504,77.6084306,1.0,Indian Restaurant,Café,Chinese Restaurant,Dessert Shop,Coffee Shop,Bakery,Lounge,Bookstore,Multiplex,Shopping Mall
260,Thambuchetty Palya,560049,13.0215083,77.7000989,1.0,Indian Restaurant,Hotel,Pizza Place,Café,Bakery,Convenience Store,Historic Site,Financial or Legal Service,Fast Food Restaurant,Farmers Market
262,Tilaknagar,560041,12.928367,77.5905691,1.0,Indian Restaurant,Café,Chinese Restaurant,Fast Food Restaurant,Ice Cream Shop,Jewelry Store,Pizza Place,Coffee Shop,Restaurant,Lounge
268,Vasanthnagar,560052,12.992415999999999,77.5963467,1.0,Indian Restaurant,Coffee Shop,Café,Chinese Restaurant,Intersection,Bakery,Dessert Shop,Italian Restaurant,Pizza Place,Hotel
270,Venkateshapura,560045,13.0152581,77.617511,0.0,Pharmacy,Pet Store,Indie Movie Theater,Diner,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
271,Vidhana Soudha,560001,12.979745399999999,77.59061672797948,1.0,Indian Restaurant,Coffee Shop,Hotel,Lounge,Metro Station,Sandwich Place,Park,Café,Intersection,Pizza Place
272,Vidyanagara,562157,15.3597318,75.1269595,1.0,Café,Hotel,Indian Restaurant,Breakfast Spot,Mattress Store,Electronics Store,Food,Cupcake Shop,Dance Studio,Flea Market
273,Vidyaranyapura,560097,13.0766407,77.5577315,0.0,Bakery,Department Store,Basketball Court,Pizza Place,Coffee Shop,Ice Cream Shop,Indian Restaurant,Bus Station,Dumpling Restaurant,Eastern European Restaurant
274,Vijayanagar,560040,12.9718886,77.54578883887129,1.0,Indian Restaurant,Snack Place,Department Store,Breakfast Spot,Fast Food Restaurant,Miscellaneous Shop,Food Truck,Bus Station,Multiplex,Bakery
275,Vijayanagar East,560040,12.9718886,77.54578883887129,1.0,Indian Restaurant,Snack Place,Department Store,Breakfast Spot,Fast Food Restaurant,Miscellaneous Shop,Food Truck,Bus Station,Multiplex,Bakery
278,Virgonagar,560049,13.0331172,77.734857,0.0,Athletics & Sports,Breakfast Spot,Lake,University,Yoga Studio,English Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space
282,Viveknagar,560047,12.95434485,77.62269547878142,1.0,Pool,Football Stadium,Fast Food Restaurant,Historic Site,Indian Restaurant,Bus Station,Café,Donut Shop,Dry Cleaner,Dumpling Restaurant
284,Wheel And Axle Plant,560064,13.106022,77.5821244,1.0,Café,Bakery,Diner,Gym,Cosmetics Shop,South Indian Restaurant,Indian Restaurant,Department Store,Dry Cleaner,Dumpling Restaurant
285,Whitefield,560066,12.9696365,77.7497448,0.0,Gym / Fitness Center,Bakery,Café,Brewery,Hotel Bar,Restaurant,Grocery Store,Eastern European Restaurant,Kerala Restaurant,Indian Restaurant
286,Wilson Garden,560027,12.9489339,77.5968273,1.0,Indian Restaurant,Coffee Shop,Café,Grocery Store,Pizza Place,Clothing Store,Restaurant,Bus Station,Fast Food Restaurant,Southern / Soul Food Restaurant
287,Yadavanahalli,562107,12.7898553,77.7514537,0.0,Diner,Hotel Bar,Resort,Restaurant,Cosmetics Shop,Dive Bar,Field,Fast Food Restaurant,Farmers Market,Event Space
289,Yelachenahalli,560078,12.897971,77.5700846,0.0,Café,Pizza Place,Department Store,Athletics & Sports,Metro Station,Motorcycle Shop,Fast Food Restaurant,Farmers Market,Event Space,Event Service
290,Yelahanka,560064,13.1006982,77.5963454,0.0,Café,Clothing Store,Food Truck,Chinese Restaurant,Multiplex,Train Station,Ice Cream Shop,Smoke Shop,Vegetarian / Vegan Restaurant,American Restaurant
291,Yelahanka Satellite Town,560106,13.089139249999999,77.5827165877116,1.0,Indian Restaurant,Pizza Place,Resort,Dessert Shop,Bus Station,Yoga Studio,Electronics Store,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
292,Yemalur,560037,12.9454643,77.6805505,1.0,Donut Shop,Fast Food Restaurant,Lounge,Indian Restaurant,Tea Room,Yoga Studio,Financial or Legal Service,Field,Farmers Market,Event Space
